SOURCE	CATEGORY		FIELD_ID	FIELD_DESCRIPTION	TYPE		SEX-SPECIFICITY			Nº COMPLETENESS		% MISSINGNESS	
	UKBB_CATEGORY	GENERAL_CATEGORY			BINARY	QUANTITATIVE	MALE	FEMALE	COMMON_SEX	MALE	FEMALE	MALE	FEMALE
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26124	Rice/oat_milk	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26125	Root_vegetables	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26108	Salted_nuts_and_seeds	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26128	Samosa,_pakora	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26129	Sauces_and_condiments_(high_fat)	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26130	Sauces_and_condiments_(low_fat)	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26083	Savoury_crackers	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26134	Savoury_snacks	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26131	Semi_skimmed_milk	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26132	Shellfish	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26133	Skimmed_milk_and_cholesterol-lowering_milk	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26135	Soups	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26086	Soy_desserts_and_yogurt	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26136	Soy_milk	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26138	Spirits	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26094	Stewed_fruit	0	1	0	0	1	26845	32220	86,14222736	85,8910696
